CODIGOITINERARIO,NUMEROLINEAUSUARIO,SENTIDO,NUMEROORDEN,DENOMINACION
283064,R,1,2,PRINCIPE PIO
283380,6-1,1,2,CARPETANA
283380,6-1,1,3,OPORTO
283380,6-1,1,4,OPAÑEL
283380,6-1,1,5,PLAZA ELIPTICA
283380,6-1,1,6,USERA
283380,6-1,1,7,LEGAZPI
283380,6-1,1,8,ARGANZUELA-PLANETARIO
283380,6-1,1,9,MENDEZ ALVARO
283380,6-1,1,10,PACIFICO
283380,6-1,1,11,CONDE DE CASAL
283380,6-1,1,12,SAINZ DE BARANDA
283380,6-1,1,13,O'DONNELL
283380,6-1,1,14,MANUEL BECERRA
283380,6-1,1,15,DIEGO DE LEON
283380,6-1,1,16,AVENIDA DE AMERICA
283380,6-1,1,17,REPUBLICA ARGENTINA
283380,6-1,1,18,NUEVOS MINISTERIOS
283380,6-1,1,19,CUATRO CAMINOS
283380,6-1,1,20,GUZMAN EL BUENO
283380,6-1,1,21,METROPOLITANO
283380,6-1,1,22,CIUDAD UNIVERSITARIA
283380,6-1,1,23,MONCLOA
283380,6-1,1,24,ARGÜELLES
283380,6-1,1,25,PRINCIPE PIO
283380,6-1,1,26,PUERTA DEL ANGEL
283380,6-1,1,27,ALTO DE EXTREMADURA
283380,6-1,1,28,LUCERO
283380,6-1,1,29,LAGUNA
330931,9B,1,2,RIVAS URBANIZACIONES
330931,9B,1,3,RIVAS FUTURA
330931,9B,1,4,RIVAS VACIAMADRID
330931,9B,1,5,LA POVEDA
330931,9B,1,6,ARGANDA DEL REY
332069,12-1,1,2,PARQUE LISBOA
332069,12-1,1,3,ALCORCON CENTRAL
332069,12-1,1,4,PARQUE OESTE
332069,12-1,1,5,UNIVERSIDAD REY JUAN CARLOS
332069,12-1,1,6,MOSTOLES CENTRAL
332069,12-1,1,7,PRADILLO
332069,12-1,1,8,HOSPITAL DE MOSTOLES
332069,12-1,1,9,MANUELA MALASAÑA
332069,12-1,1,10,LORANCA
332069,12-1,1,11,HOSPITAL DE FUENLABRADA
332069,12-1,1,12,PARQUE EUROPA
332069,12-1,1,13,FUENLABRADA CENTRAL
332069,12-1,1,14,PARQUE DE LOS ESTADOS
332069,12-1,1,15,ARROYO CULEBRO
332069,12-1,1,16,CONSERVATORIO
332069,12-1,1,17,ALONSO DE MENDOZA
332069,12-1,1,18,GETAFE CENTRAL
332069,12-1,1,19,JUAN DE LA CIERVA
332069,12-1,1,20,EL CASAR
332069,12-1,1,21,LOS ESPARTALES
332069,12-1,1,22,EL BERCIAL
332069,12-1,1,23,EL CARRASCAL
332069,12-1,1,24,JULIAN BESTEIRO
332069,12-1,1,25,CASA DEL RELOJ
332069,12-1,1,26,HOSPITAL SEVERO OCHOA
332069,12-1,1,27,LEGANES CENTRAL
332069,12-1,1,28,SAN NICASIO
332069,12-1,1,29,PUERTA DEL SUR
335631,5,1,2,EL CAPRICHO
335631,5,1,3,CANILLEJAS
335631,5,1,4,TORRE ARIAS
335631,5,1,5,SUANZES
335631,5,1,6,CIUDAD LINEAL
335631,5,1,7,PUEBLO NUEVO
335631,5,1,8,QUINTANA
335631,5,1,9,EL CARMEN
335631,5,1,10,VENTAS
335631,5,1,11,DIEGO DE LEON
335631,5,1,12,NUÑEZ DE BALBOA
335631,5,1,13,RUBEN DARIO
335631,5,1,14,ALONSO MARTINEZ
335631,5,1,15,CHUECA
335631,5,1,16,GRAN VIA
335631,5,1,17,CALLAO
335631,5,1,18,OPERA
335631,5,1,19,LA LATINA
335631,5,1,20,PUERTA DE TOLEDO
335631,5,1,21,ACACIAS
335631,5,1,22,PIRAMIDES
335631,5,1,23,MARQUES DE VADILLO
335631,5,1,24,URGEL
335631,5,1,25,OPORTO
335631,5,1,26,VISTA ALEGRE
335631,5,1,27,CARABANCHEL
335631,5,1,28,EUGENIA DE MONTIJO
335631,5,1,29,ALUCHE
335631,5,1,30,EMPALME
335631,5,1,31,CAMPAMENTO
335631,5,1,32,CASA DE CAMPO
336192,4,1,2,SAN BERNARDO
336192,4,1,3,BILBAO
336192,4,1,4,ALONSO MARTINEZ
336192,4,1,5,COLON
336192,4,1,6,SERRANO
336192,4,1,7,VELAZQUEZ
336192,4,1,8,GOYA
336192,4,1,9,LISTA
336192,4,1,10,DIEGO DE LEON
336192,4,1,11,AVENIDA DE AMERICA
336192,4,1,12,PROSPERIDAD
336192,4,1,13,ALFONSO XIII
336192,4,1,14,AVENIDA DE LA PAZ
336192,4,1,15,ARTURO SORIA
336192,4,1,16,ESPERANZA
336192,4,1,17,CANILLAS
336192,4,1,18,MAR DE CRISTAL
336192,4,1,19,SAN LORENZO
336192,4,1,20,PARQUE DE SANTA MARIA
336192,4,1,21,HORTALEZA
336192,4,1,22,MANOTERAS
336192,4,1,23,PINAR DE CHAMARTIN
336230,3,1,2,SAN CRISTOBAL
336230,3,1,3,VILLAVERDE BAJO CRUCE
336230,3,1,4,CIUDAD DE LOS ANGELES
336230,3,1,5,SAN FERMIN-ORCASUR
336230,3,1,6,HOSPITAL 12 DE OCTUBRE
336230,3,1,7,ALMENDRALES
336230,3,1,8,LEGAZPI
336230,3,1,9,DELICIAS
336230,3,1,10,PALOS DE LA FRONTERA
336230,3,1,11,EMBAJADORES
336230,3,1,12,LAVAPIES
336230,3,1,13,SOL
336230,3,1,14,CALLAO
336230,3,1,15,PLAZA DE ESPAÑA
336230,3,1,16,VENTURA RODRIGUEZ
336230,3,1,17,ARGÜELLES
336230,3,1,18,MONCLOA
336280,10a,1,2,FUENCARRAL
336280,10a,1,3,BEGOÑA
336280,10a,1,4,CHAMARTIN
336280,10a,1,5,PLAZA DE CASTILLA
336280,10a,1,6,CUZCO
336280,10a,1,7,SANTIAGO BERNABEU
336280,10a,1,8,NUEVOS MINISTERIOS
336280,10a,1,9,GREGORIO MARAÑON
336280,10a,1,10,ALONSO MARTINEZ
336280,10a,1,11,TRIBUNAL
336280,10a,1,12,PLAZA DE ESPAÑA
336280,10a,1,13,PRINCIPE PIO
336280,10a,1,14,LAGO
336280,10a,1,15,BATAN
336280,10a,1,16,CASA DE CAMPO
336280,10a,1,17,COLONIA JARDIN
336280,10a,1,18,AVIACION ESPAÑOLA
336280,10a,1,19,CUATRO VIENTOS
336280,10a,1,20,JOAQUIN VILUMBRALES
336280,10a,1,21,PUERTA DEL SUR
336284,10b,1,2,REYES CATOLICOS
336284,10b,1,3,BAUNATAL
336284,10b,1,4,MANUEL DE FALLA
336284,10b,1,5,MARQUES DE LA VALDAVIA
336284,10b,1,6,LA MORALEJA
336284,10b,1,7,LA GRANJA
336284,10b,1,8,RONDA DE LA COMUNICACION
336284,10b,1,9,LAS TABLAS
336284,10b,1,10,MONTECARMELO
336284,10b,1,11,TRES OLIVOS
336314,8,1,2,COLOMBIA
336314,8,1,3,PINAR DEL REY
336314,8,1,4,MAR DE CRISTAL
336314,8,1,5,CAMPO DE LAS NACIONES
336314,8,1,6,AEROPUERTO T1 T2 T3
336314,8,1,7,BARAJAS
336314,8,1,8,AEROPUERTO T4
336332,7a,1,2,LAS MUSAS
336332,7a,1,3,SAN BLAS
336332,7a,1,4,SIMANCAS
336332,7a,1,5,GARCIA NOBLEJAS
336332,7a,1,6,ASCAO
336332,7a,1,7,PUEBLO NUEVO
336332,7a,1,8,BARRIO DE LA CONCEPCION
336332,7a,1,9,PARQUE DE LAS AVENIDAS
336332,7a,1,10,CARTAGENA
336332,7a,1,11,AVENIDA DE AMERICA
336332,7a,1,12,GREGORIO MARAÑON
336332,7a,1,13,ALONSO CANO
336332,7a,1,14,CANAL
336332,7a,1,15,ISLAS FILIPINAS
336332,7a,1,16,GUZMAN EL BUENO
336332,7a,1,17,FRANCOS RODRIGUEZ
336332,7a,1,18,VALDEZARZA
336332,7a,1,19,ANTONIO MACHADO
336332,7a,1,20,PEÑAGRANDE
336332,7a,1,21,AVDA. DE LA ILUSTRACION
336332,7a,1,22,LACOMA
336332,7a,1,23,PITIS
336414,1,1,2,BAMBU
336414,1,1,3,CHAMARTIN
336414,1,1,4,PLAZA DE CASTILLA
336414,1,1,5,VALDEACEDERAS
336414,1,1,6,TETUAN
336414,1,1,7,ESTRECHO
336414,1,1,8,ALVARADO
336414,1,1,9,CUATRO CAMINOS
336414,1,1,10,RIOS ROSAS
336414,1,1,11,IGLESIA
336414,1,1,12,BILBAO
336414,1,1,13,TRIBUNAL
336414,1,1,14,GRAN VIA
336414,1,1,15,SOL
336414,1,1,16,TIRSO DE MOLINA
336414,1,1,17,ANTON MARTIN
336414,1,1,18,ATOCHA
336414,1,1,19,ATOCHA RENFE
336414,1,1,20,MENENDEZ PELAYO
336414,1,1,21,PACIFICO
336414,1,1,22,PUENTE DE VALLECAS
336414,1,1,23,NUEVA NUMANCIA
336414,1,1,24,PORTAZGO
336414,1,1,25,BUENOS AIRES
336414,1,1,26,ALTO DEL ARENAL
336414,1,1,27,MIGUEL HERNANDEZ
336414,1,1,28,SIERRA DE GUADALUPE
336414,1,1,29,VILLA DE VALLECAS
336414,1,1,30,CONGOSTO
336414,1,1,31,LA GAVIA
336414,1,1,32,LAS SUERTES
336414,1,1,33,VALDECARROS
337772,7b,1,2,HENARES
337772,7b,1,3,JARAMA
337772,7b,1,4,SAN FERNANDO
337772,7b,1,5,LA RAMBLA
337772,7b,1,6,COSLADA CENTRAL
337772,7b,1,7,BARRIO DEL PUERTO
337772,7b,1,8,ESTADIO OLIMPICO
343166,11,1,2,ABRANTES
343166,11,1,3,PAN BENDITO
343166,11,1,4,SAN FRANCISCO
343166,11,1,5,CARABANCHEL ALTO
343166,11,1,6,LA PESETA
343166,11,1,7,LA FORTUNA
344339,2,1,2,AVENIDA DE GUADALAJARA
344339,2,1,3,ALSACIA
344339,2,1,4,LA ALMUDENA
344339,2,1,5,LA ELIPA
344339,2,1,6,VENTAS
344339,2,1,7,MANUEL BECERRA
344339,2,1,8,GOYA
344339,2,1,9,PRINCIPE DE VERGARA
344339,2,1,10,RETIRO
344339,2,1,11,BANCO DE ESPAÑA
344339,2,1,12,SEVILLA
344339,2,1,13,SOL
344339,2,1,14,OPERA
344339,2,1,15,SANTO DOMINGO
344339,2,1,16,NOVICIADO
344339,2,1,17,SAN BERNARDO
344339,2,1,18,QUEVEDO
344339,2,1,19,CANAL
344339,2,1,20,CUATRO CAMINOS
354329,9A,1,2,MIRASIERRA
354329,9A,1,3,HERRERA ORIA
354329,9A,1,4,BARRIO DEL PILAR
354329,9A,1,5,VENTILLA
354329,9A,1,6,PLAZA DE CASTILLA
354329,9A,1,7,DUQUE DE PASTRANA
354329,9A,1,8,PIO XII
354329,9A,1,9,COLOMBIA
354329,9A,1,10,CONCHA ESPINA
354329,9A,1,11,CRUZ DEL RAYO
354329,9A,1,12,AVENIDA DE AMERICA
354329,9A,1,13,NUÑEZ DE BALBOA
354329,9A,1,14,PRINCIPE DE VERGARA
354329,9A,1,15,IBIZA
354329,9A,1,16,SAINZ DE BARANDA
354329,9A,1,17,ESTRELLA
354329,9A,1,18,VINATEROS
354329,9A,1,19,ARTILLEROS
354329,9A,1,20,PAVONES
354329,9A,1,21,VALDEBERNARDO
354329,9A,1,22,VICALVARO
354329,9A,1,23,SAN CIPRIANO
354329,9A,1,24,PUERTA DE ARGANDA
